"Iteration","Mult_ESI1","Mult_ESI5","Weight_ESI1","Weight_ESI5","Accuracy","Macro_Prec","Macro_Rec","Macro_F1","Prec_ESI1","Rec_ESI1","Prec_ESI5","Rec_ESI5","Prec_Neither","Rec_Neither"
1,0.2,0.2,21.17,3.99,0.9376,0.4985,0.3386,0.4033,0.0566,0.019,0,0,0.9404,0.9968
2,0.5,0.2,52.93,3.99,0.8357,0.4817,0.3956,0.4344,0.0254,0.3013,0,0,0.938,0.8856
3,1,0.2,105.86,3.99,0.5855,0.4745,0.431,0.4517,0.0169,0.6772,0,0,0.9321,0.6158
4,1.5,0.2,158.79,3.99,0.4141,0.4728,0.4196,0.4446,0.0138,0.8266,0,0,0.9317,0.4321
5,2,0.2,211.72,3.99,0.2878,0.4755,0.404,0.4369,0.0123,0.9152,0,0,0.9388,0.2969
6,2.5,0.2,264.65,3.99,0.2192,0.4755,0.3881,0.4273,0.0114,0.9405,0,0,0.9395,0.2237
7,3,0.2,317.58,3.99,0.1615,0.4771,0.3751,0.42,0.0108,0.9633,0,0,0.9434,0.1621
8,4,0.2,423.43,3.99,0.0838,0.4874,0.3568,0.412,0.0101,0.9911,0,0,0.9647,0.0791
9,0.2,0.5,21.17,9.97,0.8374,0.3682,0.3834,0.3756,0.0566,0.019,0.101,0.2544,0.9471,0.8767
10,0.5,0.5,52.93,9.97,0.7354,0.3572,0.4404,0.3945,0.0254,0.3013,0.101,0.2544,0.9453,0.7655
11,1,0.5,105.86,9.97,0.4853,0.3532,0.4758,0.4054,0.0169,0.6772,0.101,0.2544,0.9418,0.4957
12,1.5,0.5,158.79,9.97,0.3139,0.3539,0.4643,0.4017,0.0138,0.8266,0.101,0.2544,0.947,0.3119
13,2,0.5,211.72,9.97,0.2246,0.3525,0.4276,0.3864,0.0123,0.9152,0.0937,0.1458,0.9515,0.2219
14,2.5,0.5,264.65,9.97,0.158,0.354,0.4105,0.3802,0.0114,0.9405,0.0929,0.1398,0.9577,0.1511
