"","age","cc_breathingdifficulty","gender","triage_vital_hr","triage_vital_sbp","triage_vital_rr","triage_vital_o2","pulse_last","resp_last","spo2_last","sbp_last","pulse_min","resp_min","spo2_min","sbp_min","pulse_max","resp_max","spo2_max","sbp_max"
"age",1,0.0385013103035111,-0.00865388464009356,-0.24467714659592,-0.158481135504157,-0.206752558487388,-0.0473291520906178,-0.00637505230742507,0.0279662159983549,0.111502101953881,0.0702353841423309,-0.00644806444209364,0.0220701475867031,0.0571885607930005,0.0442324403843407,0.00513135795906971,0.0720211274525818,0.0686382572411334,0.101506239917969
"cc_breathingdifficulty",0.0385013103035111,1,-0.00598275581226174,-0.0274743644903523,-0.0320299233969508,-0.0221431075788323,-0.0203007696636616,0.0171627348032986,0.018838261251925,0.0186764683976465,0.0155737888185101,0.0170994573052234,0.0177520659044672,0.0162625512839163,0.0137950165030223,0.0216120211037474,0.0336886293443744,0.0190908141371553,0.0213201363206288
"gender",-0.00865388464009356,-0.00598275581226174,1,-0.0243858676648405,0.00259858761598721,-0.0137545041875436,0.0683328256668116,-0.0238618104102754,-0.0183282095849207,0.0467980991895229,-0.00527148827024732,-0.0366359301470492,-0.0316902812077962,-0.000804694713798413,-0.0142945142008622,-0.01219434843627,-0.0131156172911106,0.00330533324730663,-0.00482478244622413
"triage_vital_hr",-0.24467714659592,-0.0274743644903523,-0.0243858676648405,1,0.888144143369339,0.906476164652585,0.63595595774509,0.00165535772179324,-0.027053551718565,-0.037683083284368,-0.0332335023679043,0.00761645256667541,-0.0210308070609673,-0.0278845430831777,-0.0199559171491428,-0.00580666305640929,-0.0449945089615242,-0.0331450103740635,-0.0452922960565035
"triage_vital_sbp",-0.158481135504157,-0.0320299233969508,0.00259858761598721,0.888144143369339,1,0.911912683922053,0.640085622103135,-0.0470638661744463,-0.0518879999889025,-0.0506314188180286,-0.0365500750876828,-0.0367945977125775,-0.0443305873117107,-0.0517407652375688,-0.0237674880532654,-0.0587445815905129,-0.0752240942722737,-0.0578129693123619,-0.0522411379703529
"triage_vital_rr",-0.206752558487388,-0.0221431075788323,-0.0137545041875436,0.906476164652585,0.911912683922053,1,0.644363285965426,-0.0232343260838983,-0.0301164739815897,-0.0402530303472057,-0.0333206392322422,-0.0149105379656688,-0.0227795448583403,-0.0328418303449304,-0.0191710801234969,-0.0333288884506623,-0.05187154867349,-0.0385939548770634,-0.0483151571621637
"triage_vital_o2",-0.0473291520906178,-0.0203007696636616,0.0683328256668116,0.63595595774509,0.640085622103135,0.644363285965426,1,-0.00764429750126234,-0.0123018766332375,0.0276384696621569,-0.00920129206667572,-0.00384297130497212,-0.00972893781460439,0.00390193509876322,-0.00328201961030808,-0.0121707584678089,-0.023326509072258,0.00231688906309563,-0.0158674248465452
"pulse_last",-0.00637505230742507,0.0171627348032986,-0.0238618104102754,0.00165535772179324,-0.0470638661744463,-0.0232343260838983,-0.00764429750126234,1,0.890354201734561,0.678374465335975,0.890112779272723,0.922602488175749,0.89598795735247,0.850162027078791,0.878822860111487,0.916340442510953,0.873107066863699,0.852644726346592,0.884502339262599
"resp_last",0.0279662159983549,0.018838261251925,-0.0183282095849207,-0.027053551718565,-0.0518879999889025,-0.0301164739815897,-0.0123018766332375,0.890354201734561,1,0.664998295519497,0.877173189605171,0.852145408624401,0.88208280847191,0.823071515260118,0.855912329761328,0.84512456596337,0.855858406083751,0.824831758186749,0.857801125122322
"spo2_last",0.111502101953881,0.0186764683976465,0.0467980991895229,-0.037683083284368,-0.0506314188180286,-0.0402530303472057,0.0276384696621569,0.678374465335975,0.664998295519497,1,0.673884147262841,0.657316974337547,0.667085767051876,0.735879371838344,0.661458315174597,0.657671362669484,0.6555166376115,0.740276469741681,0.675525903184361
